Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1917,-.57,-.63,-.63,-.54,-.54,-.43,-.25,-.22,-.22,-.44,-.33,-.67,-.45,-.47,-.67,-.57,-.30,-.33
1918,-.47,-.33,-.24,-.43,-.42,-.36,-.31,-.31,-.17,-.06,-.11,-.29,-.29,-.32,-.49,-.37,-.33,-.11
1919,-.20,-.24,-.21,-.12,-.27,-.36,-.29,-.32,-.25,-.20,-.41,-.42,-.27,-.26,-.24,-.20,-.32,-.28
1920,-.24,-.26,-.12,-.24,-.26,-.35,-.30,-.26,-.22,-.26,-.26,-.46,-.27,-.27,-.30,-.21,-.31,-.25
1921,-.04,-.17,-.23,-.30,-.30,-.27,-.14,-.26,-.19,-.03,-.13,-.17,-.19,-.21,-.22,-.28,-.22,-.12
1922,-.33,-.44,-.15,-.23,-.33,-.31,-.27,-.32,-.36,-.33,-.15,-.19,-.28,-.28,-.31,-.24,-.30,-.28
1923,-.28,-.39,-.34,-.41,-.33,-.29,-.30,-.33,-.31,-.13,-.02,-.04,-.26,-.28,-.28,-.36,-.31,-.15
1924,-.23,-.24,-.08,-.31,-.18,-.26,-.29,-.36,-.32,-.35,-.21,-.43,-.27,-.24,-.17,-.19,-.30,-.29
1925,-.38,-.40,-.28,-.25,-.29,-.32,-.26,-.20,-.19,-.17,.05,.06,-.22,-.26,-.40,-.27,-.26,-.10
1926,.21,.03,.11,-.12,-.23,-.26,-.27,-.13,-.14,-.11,-.06,-.29,-.11,-.08,.10,-.08,-.22,-.10
1927,-.27,-.18,-.38,-.30,-.25,-.27,-.18,-.24,-.13,-.01,-.06,-.33,-.22,-.21,-.25,-.31,-.23,-.07
1928,-.02,-.09,-.25,-.27,-.30,-.38,-.19,-.22,-.21,-.19,-.08,-.16,-.20,-.21,-.14,-.27,-.27,-.16
1929,-.45,-.58,-.32,-.41,-.38,-.43,-.36,-.32,-.25,-.14,-.11,-.54,-.36,-.33,-.40,-.37,-.37,-.17
1930,-.29,-.26,-.11,-.25,-.24,-.22,-.21,-.15,-.15,-.12,.18,-.05,-.15,-.19,-.36,-.20,-.19,-.03
1931,-.10,-.21,-.10,-.23,-.19,-.08,-.04,-.04,-.07,.05,-.05,-.05,-.09,-.09,-.12,-.17,-.05,-.02
1932,.15,-.17,-.18,-.06,-.17,-.28,-.25,-.22,-.11,-.09,-.27,-.26,-.16,-.14,-.02,-.13,-.25,-.16
1933,-.23,-.29,-.30,-.24,-.29,-.34,-.21,-.24,-.29,-.25,-.31,-.45,-.29,-.27,-.26,-.28,-.26,-.28
1934,-.21,-.02,-.29,-.31,-.09,-.15,-.10,-.12,-.15,-.07,.03,-.02,-.13,-.16,-.23,-.23,-.13,-.06
1935,-.33,.14,-.14,-.37,-.29,-.27,-.22,-.22,-.22,-.06,-.26,-.17,-.20,-.19,-.07,-.27,-.24,-.18
1936,-.27,-.38,-.21,-.20,-.17,-.22,-.09,-.13,-.09,-.03,.02,-.01,-.15,-.16,-.28,-.19,-.15,-.03
1937,-.07,.03,-.21,-.16,-.05,-.05,-.04,.01,.09,.09,.08,-.07,-.03,-.02,-.02,-.14,-.03,.09
1938,.08,.03,.10,.06,-.09,-.17,-.09,-.06,.00,.15,.08,-.12,.00,.00,.02,.02,-.10,.08
1939,-.05,-.06,-.17,-.09,-.04,-.07,-.06,-.06,-.07,-.03,.07,.43,-.02,-.06,-.08,-.10,-.06,-.01
1940,.00,.08,.09,.17,.11,.11,.12,.07,.15,.11,.17,.32,.13,.14,.17,.13,.10,.14
1941,.18,.31,.10,.16,.17,.13,.22,.15,.02,.35,.23,.22,.19,.19,.27,.14,.16,.20
1942,.29,.02,.05,.09,.11,.05,.00,-.04,-.03,.01,.10,.13,.07,.07,.18,.08,.00,.03
1943,-.01,.17,-.04,.11,.07,-.05,.08,.01,.05,.23,.20,.24,.09,.08,.10,.05,.01,.16
1944,.36,.24,.26,.19,.18,.16,.18,.18,.28,.26,.11,.04,.20,.22,.28,.21,.17,.22
1945,.10,.00,.06,.19,.06,.00,.04,.26,.20,.18,.07,-.07,.09,.10,.05,.10,.10,.15
1946,.15,.03,.01,.05,-.07,-.21,-.12,-.20,-.08,-.08,-.05,-.31,-.07,-.05,.04,.00,-.18,-.07
1947,-.06,-.08,.06,.06,-.02,-.02,-.04,-.07,-.13,.07,.03,-.13,-.03,-.04,-.15,.04,-.04,-.01
1948,.06,-.15,-.24,-.12,-.01,-.05,-.11,-.12,-.14,-.05,-.12,-.24,-.11,-.10,-.07,-.12,-.09,-.11
1949,.07,-.14,-.02,-.11,-.10,-.27,-.13,-.13,-.15,-.06,-.10,-.18,-.11,-.12,-.10,-.08,-.18,-.10
1950,-.26,-.27,-.08,-.21,-.11,-.05,-.09,-.16,-.12,-.20,-.34,-.21,-.17,-.17,-.24,-.13,-.10,-.22
1951,-.34,-.42,-.20,-.14,.00,-.07,-.01,.06,.05,.08,-.01,.16,-.07,-.10,-.32,-.12,.00,.04
1952,.12,.11,-.08,.03,-.03,-.03,.05,.05,.07,.00,-.13,-.02,.01,.03,.13,-.02,.02,-.02
1953,.08,.15,.11,.19,.12,.12,.01,.05,.04,.08,-.03,.05,.08,.08,.07,.14,.06,.03
1954,-.24,-.10,-.14,-.14,-.20,-.18,-.19,-.17,-.10,-.02,.08,-.18,-.13,-.11,-.10,-.16,-.18,-.01
1955,.13,-.16,-.32,-.22,-.20,-.14,-.11,.02,-.11,-.05,-.25,-.28,-.14,-.13,-.07,-.25,-.08,-.14
1956,-.12,-.24,-.21,-.27,-.29,-.16,-.09,-.26,-.19,-.23,-.14,-.06,-.19,-.21,-.21,-.26,-.17,-.19
1957,-.09,-.03,-.05,.00,.09,.16,.02,.15,.09,.01,.08,.15,.05,.03,-.06,.01,.11,.06
1958,.39,.22,.08,.01,.06,-.08,.05,-.05,-.02,.04,.02,.01,.06,.07,.25,.05,-.03,.01
1959,.08,.07,.18,.16,.04,.03,.04,-.01,-.06,-.07,-.08,.00,.03,.03,.05,.13,.02,-.07
1960,.00,.14,-.34,-.15,-.08,-.04,-.04,.02,.07,.06,-.11,.19,-.02,-.04,.04,-.19,-.02,.00
1961,.07,.19,.09,.13,.12,.12,.01,.01,.09,.00,.04,-.16,.06,.09,.15,.12,.04,.04
1962,.06,.15,.10,.05,-.06,.03,.02,-.01,.00,.01,.06,-.02,.03,.02,.01,.03,.01,.02
1963,-.03,.18,-.14,-.07,-.06,.05,.06,.22,.18,.15,.15,-.03,.05,.06,.04,-.09,.11,.16
1964,-.09,-.10,-.21,-.32,-.25,-.04,-.04,-.22,-.29,-.32,-.21,-.30,-.20,-.18,-.07,-.26,-.10,-.27
1965,-.08,-.17,-.13,-.19,-.12,-.08,-.13,-.04,-.15,-.05,-.06,-.08,-.11,-.13,-.18,-.14,-.09,-.09
1966,-.19,-.04,.04,-.13,-.12,.01,.08,-.09,-.03,-.17,-.01,-.03,-.06,-.06,-.10,-.07,.00,-.07
1967,-.08,-.20,.05,-.05,.12,-.08,.02,.01,-.06,.09,-.05,-.05,-.02,-.02,-.10,.04,-.02,-.01
1968,-.25,-.14,.20,-.06,-.14,-.09,-.13,-.09,-.19,.09,-.05,-.15,-.08,-.07,-.15,.00,-.10,-.05
1969,-.11,-.18,.01,.17,.18,.03,-.04,.04,.09,.09,.12,.24,.05,.02,-.14,.12,.01,.10
1970,.08,.22,.06,.05,-.04,-.03,.01,-.10,.12,.03,.02,-.12,.03,.06,.18,.02,-.04,.05
1971,-.02,-.16,-.18,-.07,-.05,-.17,-.08,-.01,-.06,-.04,-.07,-.08,-.08,-.09,-.10,-.10,-.09,-.06
1972,-.22,-.18,.02,.00,-.03,.04,.01,.16,.02,.08,.02,.18,.01,-.01,-.16,.00,.07,.04
1973,.29,.32,.29,.27,.22,.18,.12,.05,.09,.10,.05,-.07,.16,.18,.26,.26,.12,.08
1974,-.10,-.27,-.06,-.12,-.04,-.05,-.03,.10,-.08,-.06,-.08,-.08,-.07,-.07,-.15,-.07,.01,-.07
1975,.10,.08,.12,.04,.16,-.01,-.01,-.17,-.03,-.11,-.17,-.17,-.01,-.01,.03,.11,-.06,-.10
1976,-.03,-.06,-.22,-.07,-.21,-.12,-.10,-.12,-.06,-.24,-.06,.11,-.10,-.12,-.09,-.16,-.11,-.12
1977,.18,.22,.24,.26,.33,.27,.20,.18,.02,.03,.16,.03,.18,.18,.17,.28,.22,.07
1978,.06,.10,.19,.17,.09,-.01,.04,-.14,.06,.03,.14,.08,.07,.06,.06,.15,-.04,.07
1979,.08,-.10,.19,.15,.03,.14,.03,.17,.25,.26,.28,.47,.16,.13,.02,.12,.11,.26
1980,.29,.39,.29,.30,.35,.20,.22,.18,.20,.13,.29,.21,.26,.28,.39,.31,.20,.21
1981,.52,.42,.48,.32,.24,.29,.32,.35,.15,.12,.23,.41,.32,.30,.39,.35,.32,.16
1982,.05,.15,.03,.15,.18,.05,.14,.03,.14,.13,.17,.42,.14,.14,.20,.12,.08,.15
1983,.53,.43,.41,.27,.33,.22,.18,.35,.37,.17,.30,.16,.31,.33,.46,.34,.25,.28
1984,.31,.14,.26,.05,.32,.02,.19,.19,.21,.13,.06,-.05,.15,.17,.20,.21,.13,.14
1985,.22,-.04,.17,.12,.14,.15,.04,.16,.13,.11,.05,.13,.12,.10,.04,.14,.12,.10
1986,.26,.37,.30,.22,.21,.11,.11,.15,.03,.15,.09,.13,.18,.18,.25,.24,.13,.09
1987,.31,.43,.18,.24,.25,.34,.40,.24,.35,.32,.29,.46,.32,.29,.29,.23,.33,.32
1988,.56,.44,.51,.42,.43,.39,.33,.39,.36,.37,.12,.28,.38,.40,.49,.46,.37,.28
1989,.12,.30,.36,.29,.17,.16,.34,.33,.35,.29,.19,.37,.27,.26,.23,.27,.28,.28
1990,.41,.43,.79,.56,.45,.37,.45,.34,.23,.44,.47,.40,.45,.44,.40,.60,.39,.38
1991,.42,.49,.35,.51,.34,.53,.47,.39,.44,.29,.29,.32,.40,.41,.44,.40,.46,.34
1992,.47,.40,.48,.27,.31,.25,.08,.08,-.01,.06,.02,.21,.22,.23,.40,.35,.14,.02
1993,.34,.37,.36,.27,.28,.23,.25,.11,.11,.23,.03,.18,.23,.23,.31,.31,.20,.13
1994,.26,.02,.29,.41,.28,.43,.30,.21,.31,.42,.44,.38,.31,.30,.15,.33,.32,.39
1995,.52,.79,.47,.47,.27,.43,.45,.45,.34,.47,.44,.25,.45,.46,.56,.40,.44,.42
1996,.24,.46,.33,.32,.28,.25,.36,.48,.24,.19,.39,.37,.33,.32,.32,.31,.37,.27
1997,.30,.41,.51,.34,.34,.54,.34,.42,.52,.61,.64,.59,.46,.44,.36,.40,.43,.59
1998,.58,.88,.63,.63,.68,.77,.66,.66,.42,.42,.43,.55,.61,.61,.68,.65,.69,.42
1999,.49,.64,.32,.31,.27,.36,.38,.32,.38,.34,.37,.41,.38,.39,.56,.30,.35,.37
2000,.25,.56,.55,.56,.36,.40,.39,.42,.38,.28,.30,.28,.39,.40,.41,.49,.40,.32
2001,.46,.44,.56,.51,.58,.52,.59,.50,.52,.51,.73,.56,.54,.51,.39,.55,.54,.58
2002,.77,.79,.88,.58,.64,.53,.61,.53,.62,.54,.59,.44,.63,.64,.71,.70,.56,.58
2003,.75,.58,.59,.55,.60,.47,.58,.65,.62,.73,.53,.75,.62,.59,.59,.58,.57,.63
2004,.58,.72,.63,.61,.37,.44,.26,.47,.50,.60,.73,.51,.54,.56,.68,.54,.39,.61
2005,.74,.60,.74,.68,.63,.64,.62,.61,.71,.74,.73,.68,.68,.66,.62,.68,.63,.73
2006,.56,.73,.63,.48,.49,.65,.54,.70,.64,.69,.73,.79,.64,.63,.65,.53,.63,.69
2007,1.02,.70,.73,.76,.69,.61,.61,.59,.59,.58,.59,.50,.66,.69,.84,.73,.60,.59
2008,.30,.38,.74,.54,.49,.49,.60,.47,.61,.66,.69,.54,.54,.54,.39,.59,.52,.65
2009,.65,.53,.54,.61,.65,.65,.74,.68,.72,.65,.81,.68,.66,.65,.57,.60,.69,.73
2010,.75,.84,.92,.84,.75,.67,.62,.67,.63,.70,.82,.45,.72,.74,.75,.84,.66,.72
2011,.51,.48,.65,.65,.53,.61,.70,.74,.56,.66,.58,.60,.61,.59,.48,.61,.68,.60
2012,.49,.49,.58,.72,.78,.64,.58,.63,.72,.79,.78,.53,.64,.65,.53,.70,.62,.76
2013,.70,.62,.67,.54,.61,.69,.60,.70,.77,.69,.84,.69,.68,.66,.62,.61,.66,.76
2014,.75,.55,.78,.79,.86,.67,.58,.82,.87,.80,.67,.79,.74,.74,.66,.81,.69,.78
2015,.85,.90,.95,.75,.80,.81,.73,.80,.85,1.09,1.05,1.15,.90,.86,.85,.84,.78,.99
2016,1.17,1.37,1.36,1.11,.95,.80,.85,1.01,.90,.88,.91,.86,1.01,1.04,1.23,1.14,.89,.90
2017,1.02,1.14,1.17,.94,.91,.72,.81,.86,.77,.90,.88,.94,.92,.91,1.01,1.01,.80,.85
2018,.81,.85,.89,.89,.83,.78,.82,.76,.80,1.02,.83,.92,.85,.85,.86,.87,.79,.88
2019,.93,.95,1.18,1.01,.85,.92,.94,.94,.92,1.01,1.00,1.10,.98,.97,.93,1.01,.93,.98
2020,1.17,1.25,1.18,1.14,1.02,.92,.90,.87,.99,.89,1.11,.81,1.02,1.04,1.17,1.11,.89,.99
2021,.81,.65,.89,.76,.80,***,***,***,***,***,***,***,***,***,.76,.82,***,***
